PLAYLIST_NO,PLAYLIST_NAME,SONG_TAG,USER_ID,USER_NO
1790,Lean In When I suffer,"해외,인디,알앤비,여성보컬,몽환적인,해외,팝,힙스터,해외,인디,인디팝,밤/새벽,멜랑콜리,싱숭생숭",,
1791,만약에 조금 힘들면,"국내,발라드,국내,발라드,밤/새벽,우울할때,발라드한,지치고,힘들때,멜랑콜리,싱숭생숭",,
1792,"혼자만의 시간, 감성적인 인디 음악","국내,인디,국내,인디,포크/어쿠스틱,봄,잔잔한,감성적인,싱숭생숭,멜랑콜리,봄,탈때",,
1793,러닝할 때 듣기 좋은 청량한 하우스,"해외,일렉트로닉,일렉트로닉팝,신나는,청량한,기분전환,조깅/러닝,홈트레이닝,운동/헬스",,
1794,K인디차트 Vol.193 (2021년 3월 하반기),"국내,인디,국내,인디,인디락,국내인디차트,기간별,차트,속,음악",,
1795,미세먼지 쓸어줄 상쾌한 공기 정화 팝,"해외,팝송,해외,팝,기분전환,트렌디한,미세먼지/황사,봄",,
1796,나랑 드라이브 가지 않을래?,"해외,팝송,해외,팝,봄,드라이브,나들이/소풍",,
1797,한강에서 분위기 한번 잡아볼까?,"해외,팝송,해외,팝,그루브한,한강,힙합,알앤비,봄,나들이/소풍,오후",,
1798,머리 끝에 닿는 햇살의 온도가 높아질 때,"해외,팝송,봄,해외,팝,기분전환,산책/여행,나들이/소풍,일상,코로나/재택근무,경쾌한",,
1799,은은하지만 짙게 녹아드는 힙합 GROOVES,"해외,힙합,해외,랩/힙합,그루브한,분위기있는,밤/새벽",,
1800,아직은 쌀쌀하지만 분명 봄이 왔어요 #2,"국내,인디,국내,인디,봄,포근한,잔잔한,카페,나들이/소풍,가요,오후",,
1801,물결처럼 일렁이는 Chill Groove,"해외,알앤비,그루브한,감성적인,밤/새벽,분위기있는,Chillax,저녁,팝송,해외,팝,나른해지는,혼술혼밥",,
1802,EDM으로 재탄생한 팝 명곡 콜렉션,"해외,일렉트로닉,일렉트로닉팝,리메이크,샘플링,이색테마,일렉트로닉월드,팝송,명곡콜렉션",,
1803,UK 싱글 차트 리뷰 : 2021년 4월 1일자,"해외,팝송,해외팝,UK차트,해외차트,차트속음악",,
1804,흔한 봄 노래는 싫어? 봄맞이 설레는 인디!,"국내,인디,국내,인디,봄,카페,화창한,날,봄캐롤",,
1805,"반지의 제왕 20주년! 스코어의 제왕, 하워드 쇼","해외,작곡가,하워드,쇼,영화/드라마,영화,스코어,OST,캐나다,해외영화",,
1806,디스 이즈 베이스 그루브 오브 코리아,"국내,인디,국내,인디,신나는,리드미컬한,기분전환,베이스,그루브한,드라이브,악기,힙스터",,
1807,아재 감성 7080 베스트 Classic Rock #1,"해외,락,7080,드라이브,올디스,로큰롤,7080세대",,
1808,너를 떠나보내고 나서야 알게 된 것들,"국내,이별/슬픔,발라드한,그리움",,
1809,"가사 들어 보며, 조상님들 감성 느껴보기","국내,동양적인,사극,조선,고전시가,노래가사,퓨전국악,이색테마",,
1810,출근길은 light and fresh,"해외,팝송,해외,팝,봄,산뜻한,등교/출근길,기분전환,신나는,출근/퇴근길,경쾌한,아침,비타민송",,
1811,우리는 사그라들지 않는 들불이잖아요,"국내,여성보컬,여성솔로,가요,걸크러쉬",,
1812,꽃 그늘 아래 가만히 앉아,"국내,뉴에이지,연주곡,힐링,휴식/명상,봄,아침,피아노연주곡",,
1813,왔다네 왔다네 봄이 왔다네~~!,"국내외,봄,일상,카페,코로나/재택근무,오후",,
